Date,TAVG,RAIN,TR05
22-06-2021,69.91,0,2.6073
23-06-2021,80.74,0,2.652
24-06-2021,84.92,0,2.7347
25-06-2021,84.97,0,2.8527
26-06-2021,75.11,1.81,2.2958
27-06-2021,73.36,0.82,1.5021
28-06-2021,73.53,1.93,1.5026
29-06-2021,74.71,1.2,1.4997
30-06-2021,77.73,0,1.4986
01-07-2021,77.11,0.39,1.5017
02-07-2021,74.64,0.89,1.4993
03-07-2021,76.11,0,1.5026
04-07-2021,75.61,0,1.512
05-07-2021,75.93,0,1.536
06-07-2021,77.42,0,1.5819
07-07-2021,78.58,0,1.6323
08-07-2021,80.5,0,1.6808
09-07-2021,79.67,0,1.7403
10-07-2021,79.45,0.27,1.7918
11-07-2021,75.13,0,1.7279
12-07-2021,74.41,0,1.7925
13-07-2021,79.29,0,1.8407
14-07-2021,79.24,0,1.8991
15-07-2021,79.9,0,1.9594
16-07-2021,79.63,0.17,2.0185
17-07-2021,77.86,0.5,2.0048
18-07-2021,77.47,0.78,1.718
19-07-2021,76.82,0.04,1.5109
20-07-2021,75.12,0,1.5266
21-07-2021,74,0,1.5656
22-07-2021,77.61,0,1.6277
23-07-2021,80.4,0,1.6966
24-07-2021,83.33,0,1.7691
25-07-2021,82.25,0.63,1.8112
26-07-2021,80.37,0.02,1.5656
27-07-2021,83.33,0,1.6669
28-07-2021,83.46,0,1.7625
29-07-2021,82.97,0,1.842
30-07-2021,83.34,0,1.92
31-07-2021,84.44,0,2.0174
01-08-2021,76.57,0.03,2.1491
02-08-2021,73.92,0,2.2176
03-08-2021,72.45,0,2.3558
04-08-2021,75.11,0,2.4774
05-08-2021,74.84,0,2.5963
06-08-2021,80.55,0,2.671
07-08-2021,83.08,0,2.7979
08-08-2021,82.43,0.34,2.8944
09-08-2021,85.8,0,2.7468
10-08-2021,85.09,0,2.7754
11-08-2021,84.39,0,2.8893
12-08-2021,84.49,0,2.9955
13-08-2021,81.34,0.91,2.9415
14-08-2021,74.44,0.02,1.5995
15-08-2021,76.77,0,1.698
16-08-2021,78.66,0,1.7843
17-08-2021,75.4,0,1.8597
18-08-2021,75.75,0.03,1.9044
19-08-2021,77.41,1.35,1.6722
20-08-2021,83.52,0,1.5131
21-08-2021,83.24,0,1.5413
22-08-2021,82.81,0,1.6035
23-08-2021,82.76,0,1.6795
24-08-2021,83.32,0,1.7645
25-08-2021,83.43,0,1.8376
26-08-2021,82.56,0,1.9079
27-08-2021,81.34,0,1.9819
28-08-2021,80.08,0,2.0661
29-08-2021,79.56,0,2.1685
30-08-2021,79.56,0,2.2969
31-08-2021,81.35,0,2.4359
01-09-2021,84.21,0,2.5608
02-09-2021,84.49,0,2.7228
03-09-2021,84.51,0,2.8825
04-09-2021,81.93,0.05,3.0653
05-09-2021,77.53,0,3.2288
06-09-2021,77.88,0,3.344
07-09-2021,81.04,0,3.4235
08-09-2021,77.03,0,3.5083
09-09-2021,74.77,0,3.5898
10-09-2021,78.36,0,3.6537
11-09-2021,78.3,0,3.7072
12-09-2021,77.28,0,3.752
13-09-2021,77.8,0,3.7859
14-09-2021,77.45,0,3.8059
15-09-2021,74.24,0,3.8291
16-09-2021,77.5,0,3.8341
17-09-2021,77.87,0,3.8423
18-09-2021,76.98,0,3.8573
19-09-2021,78.86,0,3.8654
20-09-2021,83.6,0,3.8722
21-09-2021,70.03,0,3.8967
22-09-2021,61.09,0,3.9214
23-09-2021,68.01,0,3.9271
24-09-2021,69.58,0,3.9337
25-09-2021,71.22,0,3.9346
26-09-2021,74.9,0,3.9335
27-09-2021,76.46,0,3.9355
28-09-2021,75.03,0.02,3.9346
29-09-2021,75.39,0,3.9341
30-09-2021,68.74,0.15,3.9427
01-10-2021,67.11,0.01,3.9344
02-10-2021,67.6,0.32,3.3385
